Keyword,Title,Source,Price,MRP,Binding,Release Date,Publisher,Cover Image URL,Author
Adhunik Hindi Vyakaran Aur Rachna,Israel - Adhunik Lashkari Mahasatta,https://www.bookswagon.com/book/israel-adhunik-lashkari-mahasatta-atul/9789389834376,"₹1,394","₹1,408",Paperback,01 Jan 2021,Atul Kahate,https://www.bookswagon.com/productimages/mainimages/376/9789389834376.jpg,Sakal Media Pvt. Ltd.
Adhunik Hindi Vyakaran Aur Rachna,Adhunik Sahitya ki Pravritiyan,https://www.bookswagon.com/book/adhunik-sahitya-ki-pravritiyan-namvar/9789352210213,₹119,₹199,Paperback,2016,Namvar Singh,https://www.bookswagon.com/productimages/mainimages/213/9789352210213.jpg,
Adhunik Hindi Vyakaran Aur Rachna,Adhunik Rajnitik Vicharak (in Hindi):,https://www.bookswagon.com/book/adhunik-rajnitik-vicharak-in-hindi/9788126917266,₹308,₹350,Paperback,,Chandra Deo Prasad,https://www.bookswagon.com/productimages/mainimages/266/9788126917266.jpg,
Adhunik Hindi Vyakaran Aur Rachna,Adhunik Bharat Ka Aitihasik Yatharth,https://www.bookswagon.com/book/adhunik-bharat-ka-aitihasik-yatharth/9789392757952,₹364,₹499,Paperback,10 Jan 2022,Hitendra Patel,https://www.bookswagon.com/productimages/mainimages/952/9789392757952.jpg,Rajkamal Prakashan
Adhunik Hindi Vyakaran Aur Rachna,Adhunik Bharat ka Itihas Evam Virasat 9th Edition Hindi,https://www.bookswagon.com/book/adhunik-bharat-ka-itihas-evam/9788126939220,₹411,₹495,Paperback,28 Jan 2024,P.L. Gautam,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/220/9788126939220.jpg,Atlantic Publishers and Distributors (P) Ltd
Adhunik Hindi Vyakaran Aur Rachna,Adhunik Jyotish (hindi),https://www.bookswagon.com/book/adhunik-jyotish-hindi-raghunandan-prasad/9789353226374,₹260,₹400,Paperback,01 Sep 2019,Raghunandan Prasad Gaur,https://www.bookswagon.com/productimages/mainimages/374/9789353226374.jpg,Prabhat Prakashan
Adhunik Hindi Vyakaran Aur Rachna,Adhunik Kavi,https://www.bookswagon.com/book/adhunik-kavi-ramkishor-sharma/9788180312762,₹396,₹550,Paperback,2008,Ramkishor Sharma,https://www.bookswagon.com/productimages/mainimages/762/9788180312762.jpg,Lokbharti Prakashan
Adhunik Hindi Vyakaran Aur Rachna,Adhunik Bharat ka Itihas Evam Virasat,https://www.bookswagon.com/book/adhunik-bharat-ka-itihas-evam/9788126934034,"₹1,181","₹1,495",UnknownBinding,01-Jan-2023,P.L. Gautam,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/034/9788126934034.jpg,Atlantic Publishers and Distributors (P) Ltd
Adhunik Hindi Vyakaran Aur Rachna,Adhunik Bharatacha Itihas,https://www.bookswagon.com/book/adhunik-bharatacha-itihas-dr-ganesh/9788184835892,"₹1,897","₹1,936",Paperback,01 Jan 2014,Ganesh Raut,https://www.bookswagon.com/productimages/mainimages/892/9788184835892.jpg,Repro Knowledgcast Ltd
Adhunik Hindi Vyakaran Aur Rachna,Sabjiyo ki Adhunik kheti,https://www.bookswagon.com/book/sabjiyo-ki-adhunik-kheti-sudhir/9789388727358,"₹1,639","₹1,672",Paperback,24 Mar 2022,Sudhir Mishra,https://www.bookswagon.com/productimages/mainimages/358/9789388727358.jpg,Bookriver
Basic Science for Class 6,"Oswaal CBSE 6 Years' Solved Papers, Class 10, (English Lang. & Lit., Hindi-A, Hindi-B, Sanskrit, Social Science, Science Mathematics (Standard + Basic) (For 2022-23 Exam)",https://www.bookswagon.com/book/oswaal-cbse-6-years-solved/9789355958365,₹861,,Paperback,07 Dec 2022,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/notavailable.gif,Oswaal Books and Learning Private Limited
Basic Science for Class 7,CBSE Board Exam 2023 I-Succeed 15 Sample Question Papers SOCIAL SCIENCE Class 10th,https://www.bookswagon.com/book/cbse-board-exam-2023-isucceed/9789327195590,"₹3,398","₹3,432",Paperback,18 Nov 2022,"Tripathi, Rudraksh",https://www.bookswagon.com/productimages/mainimages/590/9789327195590.jpg,Arihant Publication
Basic Science for Class 7,"Oswaal CBSE Question Bank Class 10 Science, Chapterwise and Topicwise Solved Papers For Board Exams 2025",https://www.bookswagon.com/book/oswaal-cbse-question-bank-class/9789359589190,"₹9,052",,Paperback,19 Jan 2024,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/190/9789359589190.jpg,
Basic Science for Class 7,NCERT Exemplar Problems-Solutions Science class 7th,https://www.bookswagon.com/book/ncert-exemplar-problemssolutions-science-class/9789327197334,"₹2,049","₹2,112",Paperback,17 Jan 2023,Kirti Sharma,https://www.bookswagon.com/productimages/mainimages/334/9789327197334.jpg,Repro India Limited
Basic Science for Class 7,Oswaal NCERT Exemplar (Problems - Solutions) Class 10 Science Book For 2024 Board Exams,https://www.bookswagon.com/book/oswaal-ncert-exemplar-problems-solutions/9789359581286,₹241,₹259,Paperback,29 Sep 2023,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/286/9789359581286.jpg,Oswaal Books and Learning Private Limited
Basic Science for Class 7,"Oswaal CBSE Question Bank Class 10 Social Science, Chapterwise and Topicwise Solved Papers For Board Exams 2025",https://www.bookswagon.com/book/oswaal-cbse-question-bank-class/9789359581231,"₹13,218",,Paperback,06 Feb 2024,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/231/9789359581231.jpg,
Basic Science for Class 7,"Olympiad Champs Science Class 7 with Chapter-wise Previous 10 Year (2013 - 2022) Questions 4th Edition Complete Prep Guide with Theory, PYQs, Past & Practice Exercise",https://www.bookswagon.com/book/olympiad-champs-science-class-7/9789355644251,"₹2,955",,Paperback,23 Apr 2023,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/251/9789355644251.jpg,
Basic Science for Class 7,Oswaal NCERT & CBSE One for all Workbook | Science | Class 7 | Updated as per NCF | MCQ's | VSA | SA | LA | For Latest Exam,https://www.bookswagon.com/book/oswaal-ncert-cbse-one-all/9789359583273,₹343,₹399,Paperback,17 Feb 2024,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/273/9789359583273.jpg,Oswaal Books and Learning Private Limited
Basic Science for Class 7,"Olympiad Champs Science Class 6 with Chapter-Wise Previous 10 Year (2013 - 2022) Questions Complete Prep Guide with Theory, Pyqs, Past & Practice Exercise",https://www.bookswagon.com/book/olympiad-champs-science-class-6/9789355643872,"₹2,415","₹2,464",Paperback,11 May 2023,Disha Experts,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/872/9789355643872.jpg,Repro India Limited
Basic Science for Class 7,Oswaal NCERT Exemplar (Problems - Solutions) Class 9 Science Book For 2024 Exam,https://www.bookswagon.com/book/oswaal-ncert-exemplar-problems-solutions/9789359584959,₹119,₹199,Paperback,09 Sep 2023,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/959/9789359584959.jpg,Oswaal Books and Learning Private Limited
Basic Science for Class 7,Oswaal CBSE Workbook for Class 9 Science Updated as per NCF For 2024,https://www.bookswagon.com/book/oswaal-cbse-workbook-class-9/9789359586441,₹343,₹399,Paperback,10 Feb 2024,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/441/9789359586441.jpg,
Basic Science for Class 7,Oswaal CBSE Workbook Science Class 10 Updated as per NCF For better results For 2024 Exam,https://www.bookswagon.com/book/oswaal-cbse-workbook-science-class/9789359580265,₹414,₹499,Paperback,10 Feb 2024,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/265/9789359580265.jpg,
Basic Science for Class 7,Oswaal NCERT Textbook Solution Class 7 Science | Mathematics | Set of 2 Books | For Latest Exam,https://www.bookswagon.com/book/oswaal-ncert-textbook-solution-class/9789357285872,₹306,₹348,UnknownBinding,06 Mar 2024,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/872/9789357285872.jpg,Oswaal Books and Learning Private Limited
Basic Science for Class 7,"Olympiad Champs Science Class 2 with Chapter-wise Previous 10 Year (2013 - 2022) Questions 4th Edition Complete Prep Guide with Theory, PYQs, Past & Practice Exercise",https://www.bookswagon.com/book/olympiad-champs-science-class-2/9789355644077,"₹2,248",,Paperback,10 Mar 2023,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/077/9789355644077.jpg,
Basic Science for Class 7,"Oswaal CBSE Question Bank Class 12 Political Science, Chapterwise and Topicwise Solved Papers For Board Exams 2025",https://www.bookswagon.com/book/oswaal-cbse-question-bank-class/9789359586472,"₹5,026",,Paperback,03 Feb 2024,Repro India Limited,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/472/9789359586472.jpg,
Basic Science for Class 7,Oswaal NCERT Textbook Solution Class 7 Science | For Latest Exam,https://www.bookswagon.com/book/oswaal-ncert-textbook-solution-class/9789359583341,₹89,₹149,Paperback,23 Feb 2024,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/341/9789359583341.jpg,Oswaal Books and Learning Private Limited
Basic Science for Class 7,Oswaal NCERT & CBSE One for all Workbook | Science | Class 8 | Updated as per NCF | MCQ's | VSA | SA | LA | For Latest Exam,https://www.bookswagon.com/book/oswaal-ncert-cbse-one-all/9789359588346,₹343,₹399,Paperback,23 Feb 2024,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/346/9789359588346.jpg,Oswaal Books and Learning Private Limited
Basic Science for Class 7,NCERT MCQs General Science Class 6-12 (Old+New),https://www.bookswagon.com/book/ncert-mcqs-general-science-class/9789326191104,"₹3,223","₹3,256",Paperback,05 Mar 2022,Digvijay Singh,https://www.bookswagon.com/productimages/mainimages/104/9789326191104.jpg,Arihant Publications
Basic Science for Class 7,Oswaal NCERT & CBSE One for all Workbook | Social Science | Class 7 | Updated as per NCF | MCQ's | VSA | SA | LA | For Latest Exam,https://www.bookswagon.com/book/oswaal-ncert-cbse-one-all/9789359585925,₹414,₹499,Paperback,17 Feb 2024,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/925/9789359585925.jpg,Oswaal Books and Learning Private Limited
Basic Science for Class 7,All In One Class 10th Science for CBSE Exam 2024,https://www.bookswagon.com/book/all-in-one-class-10th/9789350105993,"₹13,710","₹14,432",Paperback,18 Apr 2023,Sonal Singh,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/993/9789350105993.jpg,Repro India Limited
Basic Science for Class 7,Oswaal CBSE Workbook Class 10 | Mathematics Standard | Science | Social Science | English Language & Literature | Set of 4 Books | Updated As Per NCF | For Better Results | For Latest Exam,https://www.bookswagon.com/book/oswaal-cbse-workbook-class-10/9789357285551,"₹1,577","₹1,996",Bundle,23 Feb 2024,Oswaal Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/551/9789357285551.jpg,Oswaal Books and Learning Private Limited
Basic Science for Class 8,Go Digital!:A Basic Course in Computer Science Class 8,https://www.bookswagon.com/book/go-digital-alka-sabharwal-sangeeta/9780199486021,₹295,,Paperback,01-Oct-17,Alka Sabharwal And Sangeeta Panchal,https://www.bookswagon.com/productimages/mainimages/021/9780199486021.jpg,Oxford University Press
Basic Science for Class 8,Maxx Marks CBSE SAFAL competency-based assessment book Science Grade 8 - Structured Assessment for Analyzing Learning for Class 8 Students to assess skills and basic learning outcomes,https://www.bookswagon.com/book/maxx-marks-cbse-safal-competencybased/9789354742323,₹247,,Paperback,22 Sep 2022,Vidya Editorial Board,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/notavailable.gif,Vidya Prakashan Mandir Pvt Ltd
Basic Science for Class 8,Class 8 Basic Science English Medium [2018-19] Exam Winner Boby Books (KERALA SYLLABUS),https://www.bookswagon.com/book/class-8-basic-science-english/978B01BHQXNSG,₹134,,Paperback,01-01-16,A Team of Curruclum Experts,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/notavailable.gif,Boby Books
Ganit Parichay 1,Vedic Ganit: Athva Vedon Se Prapt Solah Saral Ganiteeya Sutras,https://www.bookswagon.com/book/vedic-ganit-vishwamohan-tiwari-krsna/9788120821743,₹180,₹225,Paperback,Hindi,Vishwamohan Tiwari,https://www.bookswagon.com/productimages/mainimages/743/9788120821743.jpg,"Motilal Banarsidass,"
Ganit Parichay 1,What Should Danny Do? School Day,https://www.bookswagon.com/book/should-danny-do-school-day/9780692914373,"₹1,413","₹1,936",Hardback,01 Nov 2018,Adir Levy,https://www.bookswagon.com/productimages/mainimages/373/9780692914373.jpg,Elon Books
Ganit Parichay 1,What Should Darla Do?,https://www.bookswagon.com/book/should-darla-do-adir-doro/9781733094610,"₹1,413","₹1,936",Hardback,01 Dec 2020,Adir Levy,https://www.bookswagon.com/productimages/mainimages/610/9781733094610.jpg,Elon Books
Ganit Parichay 1,Ganit Shunya Se Shikhar By Ashok Choudhary : Tricky Maths Education Adda,https://www.bookswagon.com/book/ganit-shunya-se-shikhar-by/9789390767540,₹319,₹425,Paperback,16 Jan 2022,Ashok Choudhary,https://www.bookswagon.com/productimages/mainimages/540/9789390767540.jpg,Invincible Publishers
Ganit Parichay 1,What Should Danny Do? Limited Edition Box Set,https://www.bookswagon.com/book/should-danny-do-limited-edition/9781733094634,"₹4,124","₹5,808",Hardback,English,Adir Levy,https://www.bookswagon.com/productimages/mainimages/634/9781733094634.jpg,
Ganit Parichay 1,What Should Danny Do?,https://www.bookswagon.com/book/should-danny-do-adir-ganit/9780692848388,"₹1,433","₹1,936",Hardback,01 May 2017,Adir Levy,https://www.bookswagon.com/productimages/mainimages/388/9780692848388.jpg,Elon Books
Ganit Parichay 1,What Should Danny Do? on Vacation,https://www.bookswagon.com/book/should-danny-do-vacation-adir/9781733094689,"₹1,433","₹1,936",Hardback,01 Dec 2020,Adir Levy,https://www.bookswagon.com/productimages/mainimages/689/9781733094689.jpg,Elon Books
Ganit Parichay 1,DSSSB TGT Ganit Guide 2018,https://www.bookswagon.com/book/dsssb-tgt-ganit-guide-2018/9789312148648,"₹4,916","₹5,016",Paperback,01-Jan-18,Arihant Experts,https://www.bookswagon.com/productimages/mainimages/648/9789312148648.jpg,Arihant Publications
Ganit Parichay 1,CTET/ TET: à¤—à¤£à¤¿à¤¤ à¤”à¤° à¤¶à¤¿à¤•à¥�à¤·à¤£ à¤¶à¤¾à¤¸à¥�à¤¤à¥�à¤° (Ganit or Shikshan Shastra (à¤µà¤°à¥�à¤—: I-V)) | 4th Edition,https://www.bookswagon.com/book/ctet-tet-àà-àààààà-àààà/9789355324399,₹312,₹385,Paperback,09-May-2023,à¤“à¤® à¤ªà¥�à¤°à¤•à¤¾à¤¶,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/399/9789355324399.jpg,McGraw Hill
Ganit Parichay 1,Vedic Ganit: Athva Vedon se Prapt Solah Saral Ganiteeya Sutras,https://www.bookswagon.com/book/vedic-ganit-vishwamohan-tiwari-bharati/9788120821736,₹293,₹425,Paperback,2002,Vishwamohan Tiwari,https://www.bookswagon.com/productimages/mainimages/736/9788120821736.jpg,Motilal Banarsidass Pvt. Ltd.(own)
Ganit Parichay 1,Nyay Ka Ganit,https://www.bookswagon.com/book/nyay-ka-ganit-arundhati-roy/9788126711154,₹205,₹250,Paperback,01-Jan-05,Arundhati Roy,https://www.bookswagon.com/productimages/mainimages/154/9788126711154.jpg,Rajkamal Prakashan
Ganit Parichay 1,Bihar Madhyamk Shiksha Patrata Pariksha TGT (GANIT) 15 Practice Papers,https://www.bookswagon.com/book/bihar-madhyamk-shiksha-patrata-pariksha/9789353228262,₹193,₹275,Paper Back,2019,Jagan Singh,https://www.bookswagon.com/productimages/mainimages/262/9789353228262.jpg,Prabhat Prakashan
Ganit Parichay 1,Jiwan Ka Ganit,https://www.bookswagon.com/book/jiwan-ka-ganit-abhinav-shankar/9781642494211,₹845,₹880,Paperback,28 Feb 2018,Abhinav Shankar 'Anikul',https://www.bookswagon.com/productimages/mainimages/211/9781642494211.jpg,Amazon Digital Services LLC - KDP Print US
Ganit Parichay 1,"BPSC TRE 3.0 Bihar Teacher Recruitment Class 6-8 ""Ganit Evam Vigyan"" Maths & Science Part-3 | Complete Study Guide (Hindi)",https://www.bookswagon.com/book/bpsc-tre-30-bihar-teacher/9789354888083,₹188,₹265,Paperback,06 Feb 2024,"Dr. Ranjit Kumar Singh, IAS (AIR-49)",https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/083/9789354888083.jpg,Prabhat Prakashan Pvt. Ltd.
Ganit Parichay 1,Uttar Pradesh Madhyamik Shiksha Sewa Chayan Board (TGT Ganit 10 Practice sets),https://www.bookswagon.com/book/uttar-pradesh-madhyamik-shiksha-sewa/9789354880483,₹185,₹260,Paperback,27 Jun 2022,Team Prabhat Prakashan,https://www.bookswagon.com/productimages/mainimages/483/9789354880483.jpg,Prabhat Prakashan Pvt. Ltd.
Ganit Parichay 1,"BPSC TRE 3.0 Bihar Teacher Recruitment Class 6-8 ""Ganit & Vigyan"" Maths & Science | 15 Practice Sets (Hindi)",https://www.bookswagon.com/book/bpsc-tre-30-bihar-teacher/9789354888694,₹241,₹365,Paperback,06 Feb 2024,"Dr. Ranjit Kumar Singh, IAS (AIR-49)",https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/694/9789354888694.jpg,Prabhat Prakashan Pvt. Ltd.
Ganit Parichay 1,125 Ganit Paheliyan,https://www.bookswagon.com/book/125-ganit-paheliyan-rajesh-kumar/9789382901372,"₹3,136","₹3,168",Hardback,01 Jan 2013,Rajesh Kumar Thakur,https://www.bookswagon.com/productimages/mainimages/372/9789382901372.jpg,Prabhat Prakashan
Ganit Parichay 1,44 Years Addhyaywar Solved Papers (2022-1979) IIT JEE Ganit,https://www.bookswagon.com/book/44-years-addhyaywar-solved-papers/9789327194739,"₹9,486","₹9,680",Paperback,12 Oct 2022,S P Singh,https://www.bookswagon.com/productimages/mainimages/739/9789327194739.jpg,Repro Books Limited
Ganit Parichay 1,1000 Ganit Prashnottari,https://www.bookswagon.com/book/1000-ganit-prashnottari-dilip-m/9788177212747,₹310,₹500,Hardback,2015,Dilip M. Salwi,https://www.bookswagon.com/productimages/mainimages/747/9788177212747.jpg,Prabhat Prakashan
Ganit Parichay 1,Vedic Ganit,https://www.bookswagon.com/book/vedic-ganit-sumita-bose/9789350570777,₹204,₹295,Paperback,30 Sep 2013,Sumita Bose,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/777/9789350570777.jpg,V&S Publishers
Ganit Parichay 2,Vedic Ganit: Athva Vedon Se Prapt Solah Saral Ganiteeya Sutras,https://www.bookswagon.com/book/vedic-ganit-vishwamohan-tiwari-krsna/9788120821743,₹180,₹225,Paperback,Hindi,Vishwamohan Tiwari,https://www.bookswagon.com/productimages/mainimages/743/9788120821743.jpg,"Motilal Banarsidass,"
Ganit Parichay 2,What Should Danny Do? School Day,https://www.bookswagon.com/book/should-danny-do-school-day/9780692914373,"₹1,413","₹1,936",Hardback,01 Nov 2018,Adir Levy,https://www.bookswagon.com/productimages/mainimages/373/9780692914373.jpg,Elon Books
Ganit Parichay 2,What Should Darla Do?,https://www.bookswagon.com/book/should-darla-do-adir-doro/9781733094610,"₹1,413","₹1,936",Hardback,01 Dec 2020,Adir Levy,https://www.bookswagon.com/productimages/mainimages/610/9781733094610.jpg,Elon Books
Ganit Parichay 2,Ganit Shunya Se Shikhar By Ashok Choudhary : Tricky Maths Education Adda,https://www.bookswagon.com/book/ganit-shunya-se-shikhar-by/9789390767540,₹319,₹425,Paperback,16 Jan 2022,Ashok Choudhary,https://www.bookswagon.com/productimages/mainimages/540/9789390767540.jpg,Invincible Publishers
Ganit Parichay 2,What Should Danny Do? Limited Edition Box Set,https://www.bookswagon.com/book/should-danny-do-limited-edition/9781733094634,"₹4,124","₹5,808",Hardback,English,Adir Levy,https://www.bookswagon.com/productimages/mainimages/634/9781733094634.jpg,
Ganit Parichay 2,What Should Danny Do?,https://www.bookswagon.com/book/should-danny-do-adir-ganit/9780692848388,"₹1,433","₹1,936",Hardback,01 May 2017,Adir Levy,https://www.bookswagon.com/productimages/mainimages/388/9780692848388.jpg,Elon Books
Ganit Parichay 2,What Should Danny Do? on Vacation,https://www.bookswagon.com/book/should-danny-do-vacation-adir/9781733094689,"₹1,433","₹1,936",Hardback,01 Dec 2020,Adir Levy,https://www.bookswagon.com/productimages/mainimages/689/9781733094689.jpg,Elon Books
Ganit Parichay 2,DSSSB TGT Ganit Guide 2018,https://www.bookswagon.com/book/dsssb-tgt-ganit-guide-2018/9789312148648,"₹4,916","₹5,016",Paperback,01-Jan-18,Arihant Experts,https://www.bookswagon.com/productimages/mainimages/648/9789312148648.jpg,Arihant Publications
Ganit Parichay 2,CTET/ TET: à¤—à¤£à¤¿à¤¤ à¤”à¤° à¤¶à¤¿à¤•à¥�à¤·à¤£ à¤¶à¤¾à¤¸à¥�à¤¤à¥�à¤° (Ganit or Shikshan Shastra (à¤µà¤°à¥�à¤—: I-V)) | 4th Edition,https://www.bookswagon.com/book/ctet-tet-àà-àààààà-àààà/9789355324399,₹312,₹385,Paperback,09-May-2023,à¤“à¤® à¤ªà¥�à¤°à¤•à¤¾à¤¶,https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/399/9789355324399.jpg,McGraw Hill
Ganit Parichay 2,Vedic Ganit: Athva Vedon se Prapt Solah Saral Ganiteeya Sutras,https://www.bookswagon.com/book/vedic-ganit-vishwamohan-tiwari-bharati/9788120821736,₹293,₹425,Paperback,2002,Vishwamohan Tiwari,https://www.bookswagon.com/productimages/mainimages/736/9788120821736.jpg,Motilal Banarsidass Pvt. Ltd.(own)
Ganit Parichay 2,Nyay Ka Ganit,https://www.bookswagon.com/book/nyay-ka-ganit-arundhati-roy/9788126711154,₹205,₹250,Paperback,01-Jan-05,Arundhati Roy,https://www.bookswagon.com/productimages/mainimages/154/9788126711154.jpg,Rajkamal Prakashan
Ganit Parichay 2,Bihar Madhyamk Shiksha Patrata Pariksha TGT (GANIT) 15 Practice Papers,https://www.bookswagon.com/book/bihar-madhyamk-shiksha-patrata-pariksha/9789353228262,₹193,₹275,Paper Back,2019,Jagan Singh,https://www.bookswagon.com/productimages/mainimages/262/9789353228262.jpg,Prabhat Prakashan
Ganit Parichay 2,Jiwan Ka Ganit,https://www.bookswagon.com/book/jiwan-ka-ganit-abhinav-shankar/9781642494211,₹845,₹880,Paperback,28 Feb 2018,Abhinav Shankar 'Anikul',https://www.bookswagon.com/productimages/mainimages/211/9781642494211.jpg,Amazon Digital Services LLC - KDP Print US
Ganit Parichay 2,"BPSC TRE 3.0 Bihar Teacher Recruitment Class 6-8 ""Ganit Evam Vigyan"" Maths & Science Part-3 | Complete Study Guide (Hindi)",https://www.bookswagon.com/book/bpsc-tre-30-bihar-teacher/9789354888083,₹188,₹265,Paperback,06 Feb 2024,"Dr. Ranjit Kumar Singh, IAS (AIR-49)",https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/083/9789354888083.jpg,Prabhat Prakashan Pvt. Ltd.
Ganit Parichay 2,Uttar Pradesh Madhyamik Shiksha Sewa Chayan Board (TGT Ganit 10 Practice sets),https://www.bookswagon.com/book/uttar-pradesh-madhyamik-shiksha-sewa/9789354880483,₹185,₹260,Paperback,27 Jun 2022,Team Prabhat Prakashan,https://www.bookswagon.com/productimages/mainimages/483/9789354880483.jpg,Prabhat Prakashan Pvt. Ltd.
Ganit Parichay 2,"BPSC TRE 3.0 Bihar Teacher Recruitment Class 6-8 ""Ganit & Vigyan"" Maths & Science | 15 Practice Sets (Hindi)",https://www.bookswagon.com/book/bpsc-tre-30-bihar-teacher/9789354888694,₹241,₹365,Paperback,06 Feb 2024,"Dr. Ranjit Kumar Singh, IAS (AIR-49)",https://d2g9wbak88g7ch.cloudfront.net/productimages/mainimages/694/9789354888694.jpg,Prabhat Prakashan Pvt. Ltd.
