Title,ISBN,Source,Cover,Price,MRP,Discount,Format,Rating
JUNIOR TEACHER (Schematic) JTS Recruitment MCQS ONLY OBJECTETIVE Paper I SOMA PUBLISHED FOR BOTH For Both Category I (Class I To V) & Category II (Class VI- VIll Science And Arts Streams,RBKGTRZWGGGXJCQP,https://www.flipkart.com/junior-teacher-schematic-jts-recruitment-mcqs-only-objectetive-paper-soma-published-both-category-class-v-ii-vi-vill-science-arts-streams/p/itm1268c33e99ace?pid=RBKGTRZWGGGXJCQP,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/s/k/6/junior-teacher-schematic-jts-recruitment-mcqs-only-objectetive-original-imagtrzw5entuu8c.jpeg?q=70,₹869,"₹1,050",17% off,"Paperback, SOMA GROUP OF WRITERS",
Basic Science For Class - 6,RBKH8DPJQFRXZ45N,https://www.flipkart.com/basic-science-class-6/p/itm63f848f6c4712?pid=RBKH8DPJQFRXZ45N,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/x/w/j/basic-science-for-class-6-original-imah8dpjyphz5gnh.jpeg?q=70,₹412,₹415,,"Paperback, A MISHRA, G MEHTA, D LEHRI, R MOHAN",
"Maxx Marks CBSE Sample Question Paper Class 10 Term 1 Maths (Basic), Science, English, Hindi, Social Science, Computer Application (Set Of 6 Books) For Nov-Dec 2021-22 Exam",RBKG6YYRHHH6RFQ9,https://www.flipkart.com/maxx-marks-cbse-sample-question-paper-class-10-term-1-maths-basic-science-english-hindi-social-computer-application-set-6-books-nov-dec-2021-22-exam/p/itm7c3254f876dd3?pid=RBKG6YYRHHH6RFQ9,https://rukminim2.flixcart.com/image/612/612/ktn9pjk0/regionalbooks/v/l/2/maxx-marks-cbse-sample-question-paper-class-10-term-1-maths-original-imag6yyzgck5bj98.jpeg?q=70,₹650,₹750,13% off,"Paperback, Vidya Editorial Board",4.1
"Oswaal CBSE 6 Years' Solved Papers, Class 10, (English Lang. & Lit., Hindi-A, Hindi-B, Sanskrit, Social Science, Science Mathematics (Standard + Basic) (For 2022-23 Exam)",9789355958365,https://www.flipkart.com/oswaal-cbse-6-years-solved-papers-class-10-english-lang-lit-hindi-a-hindi-b-sanskrit-social-science-science-mathematics-standard-basic-for-2022-23-exam/p/itm12395c295a283?pid=9789355958365,https://rukminim2.flixcart.com/image/612/612/l5h2xe80/book/q/r/j/oswaal-cbse-6-years-solved-papers-class-10-english-lang-lit-original-imagg4wse2gnabpf.jpeg?q=70,₹799,,,"Paperback, Oswaal Editorial Board",4.2
"Together With Hindi B, English Language And Literature+Pullout Worksheet, Mathematics (Basic), Science And Social Science Study Material For Class 10 (Set Of 6 Books)",RBKG57S3CMDJZVWH,https://www.flipkart.com/together-hindi-b-english-language-literature-pullout-worksheet-mathematics-basic-science-social-study-material-class-10-set-6-books/p/itm389f36d628077?pid=RBKG57S3CMDJZVWH,https://rukminim2.flixcart.com/image/612/612/krf91u80/regionalbooks/b/8/o/together-with-hindi-b-english-language-and-literature-pullout-original-imag57s2j7xwxgjk.jpeg?q=70,"₹2,799","₹2,865",2% off,"Paperback, Rachna Sagar",
"Blossom Basic Knowledge Of Computer Learning Book For Kids | Level 6 | Introduction To Powerpoint, Database Management System, Algorithms And QBASIC",RBKFHC9DC9KKQC5E,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-book-kids-level-6-introduction-powerpoint-database-management-system-algorithms-qbasic/p/itmf529f9a537152?pid=RBKFHC9DC9KKQC5E,https://rukminim2.flixcart.com/image/612/612/l47cu4w0/regionalbooks/d/m/s/blossom-basic-knowledge-of-computer-learning-book-for-kids-level-original-imagf5gdmzr5rykt.jpeg?q=70,₹140,₹180,22% off,"Paperback, Target Publications",4.8
"Blossom Basic Knowledge Of Computer Learning Books For Kids | Level 5 To 8 | Computer Fundamentals, Applications And Features | Knowledge On Powerpoint, QBASIC, Virus, Programming In C And C++, HTML, DBMS And .NET | Set Of 4 Books",RBKFHC9DZ94PZHJ2,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-books-kids-level-5-8-fundamentals-applications-features-powerpoint-qbasic-virus-programming-c-c-html-dbms-net-set-4/p/itm95d4cf0b529a8?pid=RBKFHC9DZ94PZHJ2,https://rukminim2.flixcart.com/image/612/612/l02r1jk0/regionalbooks/y/f/c/-original-imagby6nhp3xsvxr.jpeg?q=70,₹587,₹990,40% off,"Paperback, Target Publications",4.3
Basic Science Class 7,RBKFUFS5ZPMTPAEA,https://www.flipkart.com/basic-science-class-7/p/itm11ee8b9b76296?pid=RBKFUFS5ZPMTPAEA,https://rukminim2.flixcart.com/image/612/612/kd69z0w0/regionalbooks/a/e/a/basic-science-class-7-original-imafu4xfhtfqgfja.jpeg?q=70,₹350,,,"Paperback, A MISHRA .G MEHTA .D LEHRI .R MOHAN",4.3
Basic Science for Class 7 / E2,9788177098051,https://www.flipkart.com/basic-science-class-7-e2/p/itmdyufkhzjbwbaw?pid=9788177098051,https://rukminim2.flixcart.com/image/612/612/jpsnma80/book/0/5/1/basic-science-for-class-7-e2-original-imafbyh2xqv2dxhv.jpeg?q=70,₹192,₹360,46% off,"English, Paperback, Mishra Amarnath",4.4
Basic Science Class 7,RBKGFFCTZXTFM9GJ,https://www.flipkart.com/basic-science-class-7/p/itm2a653ab4c71ad?pid=RBKGFFCTZXTFM9GJ,https://rukminim2.flixcart.com/image/612/612/l4k7ssw0/regionalbooks/y/0/t/basic-science-class-7-original-imagffctzhpecqka.jpeg?q=70,₹280,₹360,22% off,"Paperback, A MISHRA",4.3
Basic Science Class 8,RBKFUFJBXCWQKYAH,https://www.flipkart.com/basic-science-class-8/p/itmf7b370684302c?pid=RBKFUFJBXCWQKYAH,https://rukminim2.flixcart.com/image/612/612/kd3f3bk0/regionalbooks/y/a/h/basic-science-class-8-original-imafu2tsh9ynum9c.jpeg?q=70,₹219,₹305,28% off,"Paperback, A MISHRA .G MEHTA D LEHRI .R MOHAN",4.3
Basic Science for Class 8 / E1,9788177097788,https://www.flipkart.com/basic-science-class-8-e1/p/itmdyufkrgugptpn?pid=9788177097788,https://rukminim2.flixcart.com/image/612/612/kialrww0-0/book/4/g/n/basic-science-for-class-8-e1-original-imafy3ygnhxkk79q.jpeg?q=70,₹198,₹353,43% off,"English, Paperback, Mishra Amarnath",4.3
Basic Science & Our World Then And Now Class 8 (Combo Pack),RBKFVASVJ4BDEJGN,https://www.flipkart.com/basic-science-our-world-then-now-class-8-combo-pack/p/itmff363992e6494?pid=RBKFVASVJ4BDEJGN,https://rukminim2.flixcart.com/image/612/612/keokpe80/regionalbooks/j/g/n/basic-science-our-world-then-and-now-class-8-combo-pack-original-imafvazt9jgnbxsg.jpeg?q=70,₹649,"₹1,000",35% off,"Paperback, A .MISHRA .G .MEHTA .D .LEHRI .R.MOHAN .S .MUKHERJI .K.K.MALTIAR.",4.8
Basic Science For Class 7,RBKGSTZQVVYMTKSN,https://www.flipkart.com/basic-science-class-7/p/itm9a05ceb157bf0?pid=RBKGSTZQVVYMTKSN,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/z/k/y/basic-science-for-class-7-original-imagstzqzsvyrby3.jpeg?q=70,₹276,₹370,25% off,"Paperback, A Mishra, G Mehta",3.7
Basic Science For Class - 7,RBKH8DPMYFUZH5GW,https://www.flipkart.com/basic-science-class-7/p/itmefb14bee531d8?pid=RBKH8DPMYFUZH5GW,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/o/j/f/basic-science-for-class-7-original-imah8dphdgeryhne.jpeg?q=70,₹362,₹370,2% off,"Paperback, A MISHRA, G MEHTA, D LEHRI, R MOHAN",
Basic Science For Class 8,RBKGEDHGFXUUYRN4,https://www.flipkart.com/basic-science-class-8/p/itm375d81e467fdd?pid=RBKGEDHGFXUUYRN4,https://rukminim2.flixcart.com/image/612/612/l37mtu80/regionalbooks/m/j/p/basic-science-for-class-8-original-imagedhgdzsqbc89.jpeg?q=70,₹346,₹410,15% off,"Paperback, A MISHRA",4.3
Basic Science For Class 8,RBKGSTZS4YPHQZHU,https://www.flipkart.com/basic-science-class-8/p/itmf981ab2e3d552?pid=RBKGSTZS4YPHQZHU,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/o/v/4/basic-science-for-class-8-original-imagstzswzhgszdr.jpeg?q=70,₹367,₹410,10% off,"Paperback, A Mishra, G Mehta",
Basic Science Class-8(Old Book),RBKGS9YBGVJFFZVG,https://www.flipkart.com/basic-science-class-8-old-book/p/itm22b0ab2ee8193?pid=RBKGS9YBGVJFFZVG,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/3/k/a/basic-science-class-8-old-book-original-imags9ybjadzzbp4.jpeg?q=70,₹231,₹305,24% off,"Paperback, AMARNATH MISHRA, GEETA MEHTA",
Basic Science For Class - 8,RBKH8DPNGJYBW4JX,https://www.flipkart.com/basic-science-class-8/p/itm4c361f2552627?pid=RBKH8DPNGJYBW4JX,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/w/q/r/basic-science-for-class-8-original-imah8dpn3vx8fata.jpeg?q=70,₹402,₹410,1% off,"Paperback, A MISHRA, G MEHTA, D LEHRI, R MOHAN",
"Blossom Basic Knowledge Of Computer Learning Books For Kids | Level 1 To 4 | Computer Fundamentals, Applications And Features | MS Paint, Notepad, Wordpad, Windows, MS Office, Internet And MSW Logo | Set Of 4 Books",RBKFHC9CE5FC5FNF,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-books-kids-level-1-4-fundamentals-applications-features-ms-paint-notepad-wordpad-windows-office-internet-msw-logo-set/p/itma5d497ea34910?pid=RBKFHC9CE5FC5FNF,https://rukminim2.flixcart.com/image/612/612/jvwpfgw0/regionalbooks/f/b/c/computer-books-for-kids-1-to-4-combo-of-4-computer-books-original-imafgp59avvngcz3.jpeg?q=70,₹610,₹710,14% off,"Paperback, Target Publications",4.3
"Blossom Basic Knowledge Of Computer Learning Book For Kids | Level 7 | Knowledge On Powerpoint, QBASIC And Introduction To MS Access, Virus, E-Commerce And Adobe Flash",RBKFHC9ECSE2GPFX,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-book-kids-level-7-powerpoint-qbasic-introduction-ms-access-virus-e-commerce-adobe-flash/p/itm436c9cb459642?pid=RBKFHC9ECSE2GPFX,https://rukminim2.flixcart.com/image/612/612/l47cu4w0/regionalbooks/i/e/c/blossom-basic-knowledge-of-computer-learning-book-for-kids-level-original-imagf5gefg8fjpfw.jpeg?q=70,₹140,₹240,41% off,"Paperback, Target Publications",5
"Blossom Basic Knowledge Of Computer Learning Books For Kids | Level 5 To 8 | Computer Fundamentals, Applications And Features | Knowledge On Powerpoint, QBASIC, Virus, Programming In C And C++, HTML, DBMS And .NET | Set Of 4 Books",RBKFHC9DZ94PZHJ2,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-books-kids-level-5-8-fundamentals-applications-features-powerpoint-qbasic-virus-programming-c-c-html-dbms-net-set-4/p/itm95d4cf0b529a8?pid=RBKFHC9DZ94PZHJ2,https://rukminim2.flixcart.com/image/612/612/l02r1jk0/regionalbooks/y/f/c/-original-imagby6nhp3xsvxr.jpeg?q=70,₹587,₹990,40% off,"Paperback, Target Publications",4.3
Basic Science For Class 8,RBKGEDHGFXUUYRN4,https://www.flipkart.com/basic-science-class-8/p/itm375d81e467fdd?pid=RBKGEDHGFXUUYRN4,https://rukminim2.flixcart.com/image/612/612/l37mtu80/regionalbooks/m/j/p/basic-science-for-class-8-original-imagedhgdzsqbc89.jpeg?q=70,₹346,₹410,15% off,"Paperback, A MISHRA",4.3
Basic Science For Class - 8,RBKH8DPNGJYBW4JX,https://www.flipkart.com/basic-science-class-8/p/itm4c361f2552627?pid=RBKH8DPNGJYBW4JX,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/w/q/r/basic-science-for-class-8-original-imah8dpn3vx8fata.jpeg?q=70,₹402,₹410,1% off,"Paperback, A MISHRA, G MEHTA, D LEHRI, R MOHAN",
Basic Science For Class 8,RBKGSTZS4YPHQZHU,https://www.flipkart.com/basic-science-class-8/p/itmf981ab2e3d552?pid=RBKGSTZS4YPHQZHU,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/o/v/4/basic-science-for-class-8-original-imagstzswzhgszdr.jpeg?q=70,₹367,₹410,10% off,"Paperback, A Mishra, G Mehta",
Basic Science for Class 8 / E1,9788177097788,https://www.flipkart.com/basic-science-class-8-e1/p/itmdyufkrgugptpn?pid=9788177097788,https://rukminim2.flixcart.com/image/612/612/kialrww0-0/book/4/g/n/basic-science-for-class-8-e1-original-imafy3ygnhxkk79q.jpeg?q=70,₹198,₹353,43% off,"English, Paperback, Mishra Amarnath",4.3
Basic Science for Class 7 / E2,9788177098051,https://www.flipkart.com/basic-science-class-7-e2/p/itmdyufkhzjbwbaw?pid=9788177098051,https://rukminim2.flixcart.com/image/612/612/jpsnma80/book/0/5/1/basic-science-for-class-7-e2-original-imafbyh2xqv2dxhv.jpeg?q=70,₹192,₹360,46% off,"English, Paperback, Mishra Amarnath",4.4
Basic Science Class 8,RBKFUFJBXCWQKYAH,https://www.flipkart.com/basic-science-class-8/p/itmf7b370684302c?pid=RBKFUFJBXCWQKYAH,https://rukminim2.flixcart.com/image/612/612/kd3f3bk0/regionalbooks/y/a/h/basic-science-class-8-original-imafu2tsh9ynum9c.jpeg?q=70,₹219,₹305,28% off,"Paperback, A MISHRA .G MEHTA D LEHRI .R MOHAN",4.3
Basic Science Class 7,RBKGFFCTZXTFM9GJ,https://www.flipkart.com/basic-science-class-7/p/itm2a653ab4c71ad?pid=RBKGFFCTZXTFM9GJ,https://rukminim2.flixcart.com/image/612/612/l4k7ssw0/regionalbooks/y/0/t/basic-science-class-7-original-imagffctzhpecqka.jpeg?q=70,₹280,₹360,22% off,"Paperback, A MISHRA",4.3
Basic Science For Class 7,RBKGSTZQVVYMTKSN,https://www.flipkart.com/basic-science-class-7/p/itm9a05ceb157bf0?pid=RBKGSTZQVVYMTKSN,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/z/k/y/basic-science-for-class-7-original-imagstzqzsvyrby3.jpeg?q=70,₹276,₹370,25% off,"Paperback, A Mishra, G Mehta",3.7
Basic Science Class 7,RBKFUFS5ZPMTPAEA,https://www.flipkart.com/basic-science-class-7/p/itm11ee8b9b76296?pid=RBKFUFS5ZPMTPAEA,https://rukminim2.flixcart.com/image/612/612/kd69z0w0/regionalbooks/a/e/a/basic-science-class-7-original-imafu4xfhtfqgfja.jpeg?q=70,₹350,,,"Paperback, A MISHRA .G MEHTA .D LEHRI .R MOHAN",4.3
Basic Science & Our World Then And Now Class 8 (Combo Pack),RBKFVASVJ4BDEJGN,https://www.flipkart.com/basic-science-our-world-then-now-class-8-combo-pack/p/itmff363992e6494?pid=RBKFVASVJ4BDEJGN,https://rukminim2.flixcart.com/image/612/612/keokpe80/regionalbooks/j/g/n/basic-science-our-world-then-and-now-class-8-combo-pack-original-imafvazt9jgnbxsg.jpeg?q=70,₹649,"₹1,000",35% off,"Paperback, A .MISHRA .G .MEHTA .D .LEHRI .R.MOHAN .S .MUKHERJI .K.K.MALTIAR.",4.8
Class 8th Basic Science & R D Sharma Mathematics In New Editions 2022,RBKGCHFEFSAMNXYQ,https://www.flipkart.com/class-8th-basic-science-r-d-sharma-mathematics-new-editions-2022/p/itmf6dce9d39dc43?pid=RBKGCHFEFSAMNXYQ,https://rukminim2.flixcart.com/image/612/612/l0r1j0w0/regionalbooks/1/q/k/class-8th-basic-science-r-d-sharma-mathematics-in-new-editions-original-imagchfecnrwx5gw.jpeg?q=70,₹905,,,"paperpack, Amarnath Mishra",5
Basic Science Class-8(Old Book),RBKGS9YBGVJFFZVG,https://www.flipkart.com/basic-science-class-8-old-book/p/itm22b0ab2ee8193?pid=RBKGS9YBGVJFFZVG,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/3/k/a/basic-science-class-8-old-book-original-imags9ybjadzzbp4.jpeg?q=70,₹231,₹305,24% off,"Paperback, AMARNATH MISHRA, GEETA MEHTA",
Basic Science For Class - 7,RBKH8DPMYFUZH5GW,https://www.flipkart.com/basic-science-class-7/p/itmefb14bee531d8?pid=RBKH8DPMYFUZH5GW,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/o/j/f/basic-science-for-class-7-original-imah8dphdgeryhne.jpeg?q=70,₹362,₹370,2% off,"Paperback, A MISHRA, G MEHTA, D LEHRI, R MOHAN",
"Blossom Basic Knowledge Of Computer Learning Book For Kids | Level 7 | Knowledge On Powerpoint, QBASIC And Introduction To MS Access, Virus, E-Commerce And Adobe Flash",RBKFHC9ECSE2GPFX,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-book-kids-level-7-powerpoint-qbasic-introduction-ms-access-virus-e-commerce-adobe-flash/p/itm436c9cb459642?pid=RBKFHC9ECSE2GPFX,https://rukminim2.flixcart.com/image/612/612/l47cu4w0/regionalbooks/i/e/c/blossom-basic-knowledge-of-computer-learning-book-for-kids-level-original-imagf5gefg8fjpfw.jpeg?q=70,₹140,₹240,41% off,"Paperback, Target Publications",5
"Blossom Basic Knowledge Of Computer Learning Books For Kids | Level 1 To 4 | Computer Fundamentals, Applications And Features | MS Paint, Notepad, Wordpad, Windows, MS Office, Internet And MSW Logo | Set Of 4 Books",RBKFHC9CE5FC5FNF,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-books-kids-level-1-4-fundamentals-applications-features-ms-paint-notepad-wordpad-windows-office-internet-msw-logo-set/p/itma5d497ea34910?pid=RBKFHC9CE5FC5FNF,https://rukminim2.flixcart.com/image/612/612/jvwpfgw0/regionalbooks/f/b/c/computer-books-for-kids-1-to-4-combo-of-4-computer-books-original-imafgp59avvngcz3.jpeg?q=70,₹610,₹710,14% off,"Paperback, Target Publications",4.3
"Blossom Basic Knowledge Of Computer Learning Books For Kids | Level 5 To 8 | Computer Fundamentals, Applications And Features | Knowledge On Powerpoint, QBASIC, Virus, Programming In C And C++, HTML, DBMS And .NET | Set Of 4 Books",RBKFHC9DZ94PZHJ2,https://www.flipkart.com/blossom-basic-knowledge-computer-learning-books-kids-level-5-8-fundamentals-applications-features-powerpoint-qbasic-virus-programming-c-c-html-dbms-net-set-4/p/itm95d4cf0b529a8?pid=RBKFHC9DZ94PZHJ2,https://rukminim2.flixcart.com/image/612/612/l02r1jk0/regionalbooks/y/f/c/-original-imagby6nhp3xsvxr.jpeg?q=70,₹587,₹990,40% off,"Paperback, Target Publications",4.3
Foundation Science Physics For Class 9 By H.C Verma Examination 2022-23,RBKGHGDMRJT6QNRQ,https://www.flipkart.com/foundation-science-physics-class-9-h-c-verma-examination-2022-23/p/itmefceb3fb44874?pid=RBKGHGDMRJT6QNRQ,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/o/g/x/foundation-science-physics-for-class-9-by-h-c-verma-examination-original-imagmfjfpc8yed4e.jpeg?q=70,₹309,₹349,11% off,"Paperback, Hc verma",4.2
Foundation Science Physics For Class 9,RBKGN9UGFFDYWEMC,https://www.flipkart.com/foundation-science-physics-class-9/p/itm95a278d0eb8db?pid=RBKGN9UGFFDYWEMC,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/j/e/e/foundation-science-physics-for-class-9-original-imagn9ugnkhtvgzh.jpeg?q=70,₹260,₹290,10% off,"Paperback, H C Verma",4.5
Foundation Science Physics For Class - 9 &10 Examination -( Set Of 2 Books),RBKG4UGPBZHKT9SM,https://www.flipkart.com/foundation-science-physics-class-9-10-examination-set-2-books/p/itma2da63b2d6611?pid=RBKG4UGPBZHKT9SM,https://rukminim2.flixcart.com/image/612/612/kqy3rm80/regionalbooks/f/a/t/foundation-science-physics-for-class-9-10-examination-set-of-2-original-imag4ugzehfzggyh.jpeg?q=70,₹570,,,"Paperback, H. C. VERMA",4.4
Pearson Iit Foundation Series Class 9 Physics,9789353944469,https://www.flipkart.com/pearson-iit-foundation-series-class-9-physics/p/itm09277d9965d58?pid=9789353944469,https://rukminim2.flixcart.com/image/612/612/k69ncsw0/book/4/6/9/pearson-iit-foundation-series-class-9-physics-2020-edition-by-original-imafzrnvthce6gur.jpeg?q=70,₹530,₹575,7% off,"English, Paperback, unknown",4.6
Pearson Iit Foundation Physics Class 9 2021,9789390531530,https://www.flipkart.com/pearson-iit-foundation-physics-class-9-2021/p/itm28fda446c3c47?pid=9789390531530,https://rukminim2.flixcart.com/image/612/612/kk5rgy80/book/r/h/l/pearson-iit-foundation-physics-class-9-2021-edition-by-pearson-original-imafzk9jghwczbzg.jpeg?q=70,₹515,₹583,11% off,"English, Paperback, unknown",4.6
Physics Foundation Course for Jee/Olympiad : Class 9,9789390801282,https://www.flipkart.com/physics-foundation-course-jee-olympiad-class-9/p/itmcc9e88b8c9961?pid=9789390801282,https://rukminim2.flixcart.com/image/612/612/kmthz0w0/book/x/i/w/physics-foundation-course-ntse-kvpy-boards-jee-pets-neet-nso-original-imagfnyhmdx4hchh.jpeg?q=70,₹360,₹425,15% off,"English, Paperback, unknown",4.5
